,course_title,characteristics
0,BSc (Hons) in Information Technology,"Interest/Skills: Information Technology, Programming (Python, Java, C), Web Design and Development, Mobile & Wireless Technology, Data Analysis, Networking, System & Network Administration, Innovation and Entrepreneurship, Mathematical Concepts, Project Management, Research Methods for Computing and Technology

Career Aspirations: Systems Analyst, IT Consultant, Chief Technology Officer (CTO), IT Project Manager, IT Application Developer

Hobbies/Free time Activities: Engaging in digital innovation projects, Learning new programming languages, Building or managing networks, Exploring new technologies like IoT or Cloud Applications, Solving computational problems, Experimenting with data analysis projects, Participating in tech meetups or hackathons, Following tech blogs and resources, Exploring cybersecurity concepts."
1,BSc (Hons) in Information Technology with a specialism in Information System Security,"Interest/Skills: Information Technology, Information Systems Security, System & Network Administration, Mobile & Wireless Technology, Network Security, Ethical Hacking & Incident Response, Web Applications, Computer Systems Security, Computer Systems Management, Cloud Infrastructure and Services, Penetration Testing, Investigations in Information Systems Security, Programming (Python, Java, C), Mathematical Concepts, Project Management, Research Methods for Computing and Technology; 

Career Aspirations: IT Security Officer, IT Security Analyst, IT Security Consultant, IT Security Infrastructure Designer, IT Security Solutions Designer, IT Security Engineer, IT Security Specialist, Chief Technology Officer (CTO), Information Security Engineer, Information Security Analyst, Information Security Manager, Technical Support Manager, Network Security Engineer, System Administrator; 

Hobbies/Free time Activities: Engaging in digital innovation projects, Learning new programming languages, Building or managing networks, Exploring new technologies like Cloud Infrastructure and Services, Participating in cybersecurity competitions or challenges, Experimenting with penetration testing projects, Investigating and analyzing security incidents, Building secure web applications, Following cybersecurity blogs and resources, Exploring ethical hacking concepts."
2,BSc (Hons) in Information Technology with a specialism in Cloud Engineering,"Interest/Skills: Information Technology, Cloud Computing, Networking Technologies, Cloud-based Information Systems, Cloud-focused Engineering, Network Architectures, Networked Computing Applications, Virtualization, Switching and Routing, Mobile & Wireless Technology, Web Design and Development, Data Centre Infrastructure, Human-Computer Interaction, Network Security, Edge Computing, Computer Systems Management, Cloud Infrastructure and Services, Internet of Things, Cloud Engineering Project, Programming (Python, C), Mathematical Concepts, Project Management, Research Methods for Computing and Technology;

Career Aspirations: Chief Technology Officer (CTO), Server Developer, Cloud Solution Consultant, Technical Support Manager, IT Cloud Test Engineer, Cloud Platform Developer, Data Center Operator, Cloud Architect, Cloud Software Engineer, Cloud Network Engineer, Cloud Product Manager, Cloud Consultant, Network Designer;

Hobbies/Free time Activities: Exploring cloud computing technologies, Building and managing networks, Developing cloud-based applications, Experimenting with virtualization and network security, Exploring emerging technologies, Participating in cloud engineering projects, Following industry trends and advancements in cloud computing, Attending tech conferences and workshops, Engaging in open-source cloud projects."
3,BSc (Hons) in Information Technology with a specialism in Mobile Technology,"Interest/Skills: Information Technology, Mobile Technology, Programming (Python, Java, C), Mobile App Development (iOS, Android), Mobile & Wireless Technology, Web Applications, Human-Computer Interaction, Cloud Infrastructure and Services, Multimedia, Mobile Commerce, Investigative Skills, Project Management, Research Methods for Computing and Technology, Mathematical Concepts for Computing;

Career Aspirations: Mobile Application Developer, Mobile iOS Developer, Android Mobile Developer, M-Commerce Consultant, Mobile Programmer, Telecommunications Solutions Consultant, Application Engineer, Chief Technology Officer (CTO), Mobile Application Specialist, Technical Support Manager, Mobile Solutions Consultant, Mobile Application Designer;

Hobbies/Free time Activities: Developing mobile apps, Exploring new mobile technologies, Designing user-friendly interfaces, Testing and debugging mobile applications, Learning about mobile security and privacy, Keeping up with the latest trends in mobile technology, Participating in mobile app development competitions, Attending mobile technology conferences and workshops, Exploring mobile gaming concepts, Experimenting with cloud-based mobile solutions."
4,BSc (Hons) in Information Technology with a specialism in Internet of Things (IoT),"Interest/Skills: Information Technology, Internet of Things (IoT), Programming (Python, Java, C), Web Applications, Mobile & Wireless Technology, Cloud Computing, Data Analysis, Networking, System Programming & Computer Control, LoWPAN & Ad-hoc Networking, Network Security, Distributed Computer Systems, Cloud Infrastructure & Services, Knowledge Discovery & Big Data Analytics, HCI & Usability, Sensor Devices, Wireless Communications, Cloud Computing, Mathematical Concepts, Project Management, Research Methods for Computing and Technology;

Career Aspirations: Microcontroller Programmer, Machine Learning Programmer, Cloud Security Specialist, Embedded Device Developer, Data Scientist, Network Developers, Mobile Application Developer, Web Developer, Big Data Analysts, Technology Consultant, Web Development Engineer, Project Manager – IoT, IoT Innovation Manager, IoT Software Developer, Infrastructure and Test Engineer;

Hobbies/Free time Activities: Building IoT-based solutions, Experimenting with sensor devices, Exploring wireless communication technologies, Developing web applications, Exploring cloud computing platforms, Analyzing data from IoT devices, Building and managing networks, Exploring cybersecurity concepts, Experimenting with distributed computing systems, Exploring emerging technologies, Participating in IoT projects and hackathons, Following IoT blogs and resources."
5,BSc (Hons) in Information Technology with a specialism in Digital Transformation,"Interest/Skills: Information Technology, Digital Transformation, Digital Marketing, Digital Finance, Digital Strategy and Analytics, Programming (Python, Java, C), Web Design and Development, Network Security, System and Network Administration, Innovation and Entrepreneurship, Mathematical Concepts, Project Management, Research Methods for Computing and Technology, Integrated Business Processes with SAP ERP, Human-Computer Interaction, Cloud Infrastructure and Services, Advanced Database System, Leading Digital Business Transformation, Digital Execution, Emergent Technology;

Career Aspirations: Business IT Analyst, Digital Engineer, Digital Lead, Entrepreneur, Innovation Architect, Business Strategies, Digital Transformation Officer, Digital Strategist, Chief Innovation Officer (CIO), Digital Designer, Business Transformation Analyst, Customer Experience Transformation Lead, Enterprise Digital Transformation Specialist, HR Digital Transformation Lead, Strategic IT Consultant, Digital Finance Transformation Leader;

Hobbies/Free time Activities: Engaging in digital innovation projects, Learning new programming languages, Building or managing networks, Exploring new technologies like IoT or Cloud Applications, Solving computational problems, Experimenting with data analysis projects, Participating in tech meetups or hackathons, Following tech blogs and resources, Exploring cybersecurity concepts, Analyzing digital marketing strategies, Exploring digital finance concepts, Designing and developing digital products or services, Conducting user experience research, Exploring emerging technologies and their applications."
6,BSc (Hons) in Information Technology with a specialism in Financial Technology (FinTech),"Interest/Skills: Information Technology, Programming (Python, Java, C), Financial Management, Financial Technology, Blockchain Development, Robo Advisor, FinTech Governance, Risk Management and Compliance, Emergent Technology, System Analysis & Design, Mathematical Concepts, Networking, Database Management, Entrepreneurship, Data Analysis, Human-Computer Interaction, Web Design and Development, Network Security, Probability and Statistical Modelling, Data Mining and Predictive Modelling, Project Management, Cloud Infrastructure and Service, Distributed Computer System;

Career Aspirations: FinTech Systems Analyst, IT and FinTech Consultant, FinTech Infrastructure Administrator, Chief Technology Officer (CTO), Global Business Solution Consultant, IT Business Development Manager, IT Business Analyst, Technical Business Analyst, Business Systems Analyst, System Analyst, Business Intelligence Manager, CRM Business Analyst;

Hobbies/Free time Activities: Engaging in digital innovation projects, Learning new programming languages, Exploring financial technologies and products, Building or managing financial systems, Keeping up with the rapidly changing Global Banking and Finance Industry, Experimenting with blockchain development projects, Exploring emerging technologies in the financial sector, Participating in FinTech hackathons or conferences, Following FinTech blogs and resources, Exploring cybersecurity concepts in the context of financial technology."
7,BSc (Hons) in Information Technology with a specialism in Business Information Systems,"Interest/Skills: Information Technology, Business Information Systems, Programming (Python, Java, C), System Analysis & Design, Mathematical Concepts for Computing, Operating Systems & Computer Architecture, Introduction to Networking, Introduction to Databases, Fundamental of Entrepreneurship, Programming for Data Analysis, Object Oriented Development with Java, System Development Methods, Innovation Process, Research Methods for Computing and Technology, Human-Computer Interaction, Web Applications, Probability and Statistical Modelling, Enterprise Systems, Integrated Business Processes with SAP ERP, Project Management, Internet of Things: Concepts & Applications, Project In Information Systems, Computer Systems Management, Venture Building, Investigations in Information Systems;

Career Aspirations: IT Business Systems Developer, IT Systems Analyst, E-Commerce Consultant, Chief Technology Officer (CTO), Management Information System (MIS) Manager, Global Business Solution Specialist, Global Business Solution Consultant, IT Business Development Manager, IT Quality Assurance (QA) Analyst, IT Business Engagement Manager, SAP Business Analyst, Technical Business Analyst, Business Systems Analyst, System Analyst, Business Intelligence Manager, CRM Business Analyst;

Hobbies/Free time Activities: Engaging in digital innovation projects, Learning new programming languages, Building or managing networks, Exploring new technologies like IoT or Cloud Applications, Solving computational problems, Experimenting with data analysis projects, Participating in tech meetups or hackathons, Following tech blogs and resources, Exploring cybersecurity concepts, Analyzing business processes and systems, Designing and developing e-commerce applications, Building customer relationships, Staying updated with emerging technologies, Analyzing and improving business intelligence systems, Exploring CRM strategies and tools."
8,BSc (Hons) in Software Engineering,"Interest/Skills: Software Engineering, Programming (Python, Java), Object-Oriented Development, Data Structures, Algorithmics, Software Architecture, Software Testing, Requirements Engineering, Software Quality Engineering, Design Patterns, Web Design and Development, Mobile App Engineering, Distributed Systems, Artificial Intelligence, Concurrent Programming, Database Systems, Human-Computer Interaction, Optimisation and Deep Learning, Cloud Applications, Research Methods for Computing and Technology, Mathematical Concepts for Computing, Project Management, Innovation and Entrepreneurship;

Career Aspirations: Software Engineer, Systems Analyst, Project Manager, Software Consultant, Programmer, Chief Technology Officer (CTO), Application Engineer, Software Test Engineer, Software Quality Assurance (QA) Specialist, R&D Specialist, Software Architect, Systems Integration Engineer, Senior Technical Lead, Product Manager, Solutions Architect, Development Manager, Senior System Designer;

Hobbies/Free time Activities: Developing software projects, Solving programming challenges, Designing and building web applications, Creating mobile apps, Exploring artificial intelligence concepts, Experimenting with concurrent programming, Building distributed systems, Exploring database systems, Designing user-friendly interfaces, Learning about optimization and deep learning techniques, Exploring cloud computing platforms, Conducting research in software engineering, Participating in hackathons or coding competitions, Following tech blogs and resources, Exploring emerging technologies and trends in software engineering."
9,Bachelor of Science (Honours) in Information Technology with a specialism in Sustainable Computing,"Interest/Skills: Information Technology, Sustainable Computing, Green Computing, Programming (Python, Java, C), Web Design and Development, Networking, Systems Analysis and Design, Mathematical Concepts for Computing, Databases, Entrepreneurship, Data Analysis, Project Management, Research Methods for Computing and Technology, Renewable Energy, Digital Strategy and Analytics, Sustainable Leadership, Cloud Infrastructure and Services, Computer Systems Management, Investigating Sustainable Computing, Advance Database Systems, Emergent Technology; 

Career Aspirations: Green IT Consultant, Sustainability Analyst, Corporate Sustainability Manager, Data Centre Sustainability Specialist, IT Sustainability Officer, ICT Environmental Manager, Project Manager (Sustainability Project); 

Hobbies/Free time Activities: Engaging in sustainable technology projects, Designing energy-efficient software and hardware, Integrating renewable sources, Managing data responsibly, Advocating for environmentally friendly technology, Participating in sustainability initiatives, Exploring digital strategy and analytics, Building and managing cloud infrastructure, Investigating emerging technologies, Conducting research on sustainable computing, Participating in sustainability conferences and events."
