question,category,answer
How to Apply Student Pass/Visa Renewal?,VisaOrImmigration,"Visa Renewal Process: In-Person Submission (For those in Malaysia): If you are in Malaysia, please visit the APU Immigration Services Office on Level 4 to submit your visa renewal documents. Required Documentation (Hardcopy Submission): Passport Copies: Provide 3 sets of copies of all pages of your passport, including empty pages. If you have two passports, submit 3 sets of copies of the new passport and 2 sets of copies of the old passport. Ensure the passport validity is more than 18 months. Maximum of 2 passport pages per each A4 page. Passport Size Photographs: Include 2 passport size photographs with a WHITE background (35mm x 45mm). Refer to the passport photo guidelines. Renewal Fee: Pay the renewal fee based on the duration before the expiry date: Twelve (12) weeks or more prior to expiry: RM 930.00 (Renewal A) Between eight (8) to twelve (12) weeks prior to expiry: RM 1010.00 (Renewal B) Between seven (7) to eight (8) weeks prior to expiry: RM 1090.00 (Renewal C) Less than seven (7) weeks prior to expiry but no later than six (6) weeks prior to expiry (Seven (7) – 12 Months Renewal): RM 1260.00 (Renewal D) Three (3) – Six (6) Months Renewal: RM 750.00 to RM 1080.00 (Depending on the duration) Online Submission (For those Overseas): If you are overseas, scan the required documents clearly and compile them into ONE PDF format. Send the documents along with proof of payment to visa@apu.edu.my. Please follow these guidelines to avoid errors in the application. Required Documentation (Online Submission): Passport Copies: Scan all pages of your passport, including empty pages and the date of entry stamp. Ensure passport validity is more than 18 months. Maximum of 2 passport pages per each A4 page. Passport Size Photographs: Provide 2 passport size photographs with a WHITE background (35mm x 45mm). Refer to the passport photo guidelines. Save the photos in JPEG format. Payment Details: Make the payment to APU's bank account using the following details: Account Name: ASIA PACIFIC UNIVERSITY SDN BHD Bank: MALAYAN BANKING BERHAD (MBBEMYKL) Address: Lot No. G-1 & G-2, Ground Floor, Support Service Building, Technology Park Malaysia Bukit Jalil, Kuala Lumpur, 57000, Malaysia Account Number (USD): 714413000532 Account Number (RM): 514413-500658 Alternatively, for international payments, use APU's Flywire service at apu-my.flywire.com. Once all required documents are received, the application will be processed for EMGS submission. Ensure all documentation is complete and accurate to avoid delays in the renewal process."
what is the crieteria for malaysia student visa/pass?,VisaOrImmigration,"Student Visa/Pass Overview: All foreign students who wish to pursue their education in Malaysia are required to apply for a Student Pass from the Department of Immigration Malaysia. Renewal of Student Pass: It is the student's responsibility to monitor the expiry date of their Student Pass. Renew your Student Pass through the APU Immigration Services Office at least three (3) months before it expires. Overstaying is a SERIOUS OFFENCE with penalties ranging from RM1,000 to RM5,000, depending on the duration of overstay. A notification is sent via email three (3) months before the Student Pass expires. Regularly check your email during this period. Requirements for Renewal: Ensure that all overdue fees (tuition fee, re-sit fee, accommodation fee, etc.) are cleared. Overdue fees may lead to non-acceptance of the renewal application. For In-Person Submission (For those in Malaysia): Submit at least three (3) clear sets of Full Passport Photocopies (all pages, including blank pages and cover page) with a minimum of eighteen (18) months validity. Include two (2) passport size photos with a white background (3.5cm x 4.5cm). Special Pass payment (RM153) if submission is less than four (4) weeks from expiry. For Online Submission (For those Overseas): Scan passport copies (all pages, including the date of entry stamp) clearly and compile them into ONE PDF format. Include two (2) passport size photos with a white background (save as JPEG). Submit proof of payment. Academic Requirements for Renewal: Attendance in class should not fall below 80%. Maintain a minimum CGPA of 2.00. Provide supporting documents for absences (e.g., Medical Certificate, written permission from the lecturer). Failure to meet these requirements can result in rejection of the renewal application. Duration of Study: Diploma: 24 to 30 months. Foundation: 12 months. Certificate: 16 months. Bachelor: 3 to 4 years. Postgraduate: 2 to 2.5 years. Exceeding the expected duration may lead to application rejection. Renewal Fee: Varies based on the renewal duration. RM 930.00 to RM 1,260.00 for 7 months to 12 months renewal. RM 750.00 to RM 1,080.00 for 3 to 6 months renewal. Payment Details: Pay the renewal fee through APU's bank account. Details provided in the instructions. Renewal Endorsement Process: Typically takes around three (3) months. Do not make travel arrangements during this period until your passport is returned with a valid Student Pass. Student Pass Expiring While Outside Malaysia: Renew or submit a renewal application before leaving the country. Return and submit your passport for visa endorsement at least 14 working days before the expiry date. If unable to return within the visa validity, seek a single entry visa from the nearest Malaysian Embassy. If Student Pass has expired for more than 90 days, a new application is required. Undertaking an Internship: Apply for visa endorsement before leaving Malaysia. Submit a renewal application at least five (5) months before the expiry date. Passport submission for sticker endorsement can be done three (3) months before expiry upon EMGS's request. Find an internship placement in Malaysia if endorsement isn't obtained. Internship lasts for 16 weeks, and you must return to Malaysia within three (3) months after visa expiry. Important Note: Collect your passport promptly upon notification via phone call or email. A daily penalty of RM 20.00 will be imposed for late passport collection. Collect your passport within the APU Immigration Services Office operating hours. These guidelines ensure a clear understanding of the Student Visa/Pass renewal process and requirements, helping students avoid penalties and complications in their visa status."
What is the procedure of Applying for a Dependent Pass?,VisaOrImmigration,"Dependent Pass for Postgraduate Students: Eligibility: Dependent pass is applicable for Postgraduate students. Postgraduate students are allowed to bring their: Wife/Husband (spouse) with children below 17 years old OR Mother OR Father OR Husband and Mother under a dependent pass. Married students MUST enter Malaysia as single travelers. Application for the Dependent Pass can only be made after the student pass is issued to the student. Submit the application to APU Immigration Services Office after your dependent arrives in Malaysia. Once issued, you can renew the Dependent Pass on a yearly basis after renewing your Student Pass. Additional Eligibility for Undergraduate Students (Degree): Undergraduate students (Degree) can apply for dependent passes on behalf of their families if they are citizens of the following countries: Bahrain United Arab Emirates (UAE) Turkey Qatar Azerbaijan Palestinian Territories Kuwait Iran Syria Yemen Oman Jordan Lebanon Iraq Libya Saudi Arabia Maldives New Application and Renewal Application: New Application for Dependent Pass: Refer to the requirements for applying for a New Dependent Pass by clicking here. New Dependent Pass Fees: Administrative Charge: RM 300.00. Personal Bond (refundable): A one-off payment of RM 1,500.00. Stamping: RM 10.00. Immigration Fees: RM 1,000.00. Total for New Application: RM 2,810.00. Renewal Application for Dependent Pass: Refer to the requirements for renewing a Dependent Pass by clicking here. Renewal Dependent Pass Fees: Administrative Charge: RM 300.00. Personal Bond (refundable): A one-off payment of RM 1,500.00. Stamping: RM 10.00. Immigration Fees: RM 300.00. Total for Renewal Application (including Personal Bond): RM 2,810.00. Total for Renewal Application (excluding Personal Bond): RM 610.00. Important Note: The Personal Bond is a one-off payment. If you have made this payment during your New Dependent Pass application, you are not required to make any payment during the renewal process. These guidelines provide a clear understanding of the eligibility criteria, application process, and associated fees for Dependent Pass applications and renewals for postgraduate students and eligible undergraduate students."
What is the reason of Cancellation of Student Pass?,VisaOrImmigration,"All international student are required to cancel their student pass and visa when the below occurs: Graduate/completion of studies. Deferment of studies (more than 3 months) Withdrawal or termination from the University Change University / Change Program Conversion to Employment pass Conversion to Social Long Term Pass (This is only applicable for Yemen nationality) You need to provide your passport and a list of other documents to have your student pass canceled. Before submitting documents to the APU Immigration Services Office, the student needs to do an exit application through http://forms.sites.apiit.edu.my/ You need to submit: Original Passport A copy of a confirm travel ticket showing student's intended date of exit. Please note the travel ticket valid must be within 1 month. (leaving the country) A copy of the new E-VAL and Offer letter from the Institution (if transferring) A copy of an ""Approval Letter"" from the Malaysia Digital Economy Corporation (MDEC) is required if the purpose of shortening the student pass in order to apply for an employment pass. (if working) Please note the Immigration Department will not process the shortening of student pass if the letter did not indicate that the employment pass has been approved by (MDEC). An official letter from the Embassy is required if the purpose of shortening the student pass in order to apply ""Social Long Term Pass"" (Yemen nationality) payment RM 53.00 (EMGS processing fee)* The cancellation process at Malaysia Immigration can take up to 14 working days. Please seek advice from APU Immigration Services Office before purchasing your flight ticket. Leaving Malaysia without proper canceling your student pass will result in the forfeit of your Personal Bond deposit by Immigration Malaysia and can cause consequences if the student decides to apply to another institution within Malaysia or to apply for another visa in Malaysia. The university has the right to hold your certificate if proper cancellation is not done properly."
where is the Contact & Location in APU?,VisaOrImmigration,"APU Immigration Services Office: Location: APU Immigration Services Counter, Level 4 New Campus Counter Operating Hours: Monday - Friday: 10.00 a.m. - 3.00 p.m. Saturday/Sunday/Public Holiday: CLOSED Passport Collection Hours: Monday - Friday: 10.00 a.m. - 3.00 p.m. Saturday/Sunday/Public Holiday: CLOSED Passport Submission Hours: Monday - Thursday: 10.00 a.m. - 3.00 p.m. Friday: 10.00 a.m - 11.00 a.m Saturday/Sunday/Public Holiday: CLOSED Contact Options: Email: If you have any inquiries, kindly email at visa@apu.edu.my Key Officers: Suhaibah Suboh Title: Manager, International Services Contact: Tel: 03-8992 5235 Email: suhaiba@staffemail.apu.edu.my Nor Suriyanti Binti Yahya Title: Senior Corporate Services Executive Contact: Tel: 03-8992 5238 Email: nor_suriyanti@staffemail.apu.edu.my Abdul Rahman Bin Ibrahim Title: Senior Administrative Executive Email: abdul.rahman@staffemail.apu.edu.my Siti Rozaifah Binti Rofiee Title: Corporate Services Executive Contact: Tel: 03-8992 5238 Email: rozaifah@staffemail.apu.edu.my Norzaliza Binti Malek Title: Corporate Services Executive Contact: Tel: 03-8992 5239 Email: norzaliza@staffemail.apu.edu.my Nurain Binti Abdul Rahim Title: Corporate Services Executive Contact: Tel: 03-8992 5237 Email: nurain.rahim@staffemail.apu.edu.my These details provide clear information about the location, operating hours, contact options, and key officers at the APU Immigration Services Office for the convenience of students and visitors."
what is the procedure of Transfer of Endorsement?,VisaOrImmigration,"You need to transfer your student pass to a new passport immediately should be any one of the below takes place: Passport Validity Date is Expiring Damaged Passport Lost Passport Students can make an arrangement to transfers Student Pass to a new passport through APU Immigration Services Office. Please submit: Your old passport and new passport One (1) set photocopy of new passport One (1) photocopy of old passport Copy of the police report from The Royal Malaysia of Police Department (PDRM) is required if the old passport is lost in Malaysia. If the applicant’s passport is lost at a foreign country, a copy of the police report that is lodged at the foreign local police station and a police report from The Royal Malaysia of Police Department (PDRM) are required If the applicant’s embassy has taken the old passport during the issuance of new passport, a copy of the explanation letter from the Embassy is required. Note: If you send us a document that is not in English or Bahasa Malaysia in support of your application, this document must be accompanied by a full translation into English that can be independently verified by EMGS. Malaysian Immigration usually takes up to 14 working days to endorse a pass transfer. A processing fee between RM 93.00 to RM 150.00 could apply, depending on your country of origin. It is a MANDATORY requirement from the Immigration of Malaysia for a student to cancel their old passport once they obtain a new passport."
how's the Overstay Penalty?,VisaOrImmigration,"Students are responsible to monitor the expiry of their student pass and visa. Overstaying is a SERIOUS offense in Malaysian Law. Immigration will impose a penalty ranging from RM 1,100.00 – RM 5,000.00 depending on the duration of the overstay. You may be BLACKLISTED between one (1) to five (5) years and deported back to your home country. You can be PROHIBITED to enter Malaysia for a period of time. You may even be IMPRISONED. University will impose administrative charges of RM 1,800.00 for the overstayed student who wishes to get the University assistance to deal with the Immigration to clear overstay."
what you do if your passport lost?,VisaOrImmigration,"Students are advised to keep their passports safe with them all the time. It is even more important for them to bring the document along when traveling outside of Kuala Lumpur. It is understood that there is a risk of getting it lost or damaged. Should such a situation take place, please do as below: lodge a police report immediately. If you are unsure of what needs to be done, contact Student Services directly for assistance. go to your respective embassy / high commissioner office to apply for a new passport. once your new passport is ready, submit the original document along with the current and previous passport full photocopies and police report (if any) for transfer endorsement process to APU Immigration Services Office. Once you obtain your new passport, please submit your new passport IMMEDIATELY to APU Immigration Services Office for Transfer of Endorsement process. Kindly click here for the Transfer of Endorsement requirement."
What is the procedur Passport Renewal?,VisaOrImmigration,"Passport must have validity minimum eighteen (18) months. It is advisable for a student to renew their passport in Malaysia; otherwise, the student might face issues of re-entering Malaysia if the passport is applied outside of Malaysia especially for the student who come from countries where a visa is required to enter Malaysia. The process of getting a new passport may take a long period of time. In such cases, visit APU Immigration Services Office at least 14 working days before the expiry date to apply for a student visa. Bring a copy of your old passport and a letter from your embassy / high commissioner stating that they are processing your application for a new passport. The previous passport would be canceled with the issuance of a new passport. The cancellation would result in the entire included visa to be canceled as well. In the event when a student is allowed to re-enter Malaysia, he/she will be given a Social Visit Pass (SVP). The student will have to report back to the Immigration Department to convert the SVP to Student Pass. Journey Performed Visa Fee of RM 500.00 might be charged by Immigration. Submit your new passport to the APU Immigration Services Office as soon as possible for the transfer endorsement process."
What is the procedure ofAttestation of Academic Documents?,VisaOrImmigration,"Endorsement Process for Academic Documents: Required Academic Documents: Academic certificate signed by Vice-Chancellor or Registrar or both. Transcript. Confirmation letter from the university. Offer Letter. Two Ways to Obtain Attestation: i. Student Self-Attestation: Request a cover letter at APU Immigration Student Services Office as a supporting document for the Ministry of Higher Education (MOHE). Download the Application Form of Academic Document Attestation by clicking here and complete the form. Validate the form at the Ministry office. ii. APU Immigration Office Assistance: Submit all the documents at the Immigration Office with passport and visa (both copy and original), and the office personnel will validate the documents for the student. RM 200.00 will be charged if the student requested the APU Immigration Student Services Office to obtain the attestation from the Ministry of Foreign Affairs (MOFA). Required Documents During the Course of Study: For All Levels of Education (Foundation/Diploma/Bachelor/Master/PhD): Original Student Confirmation Letter certified by university Registrar/Corporate Services. A student visa is required from the date of enrolment until the date of graduation at the institution (if a representative, a student visa copy is required). Original Academic Certificate and Transcript. Copies of Academic Certificate and Transcript (three copies). Military form (if required, depending on certain countries). Processing Time: The process is expected to take three (3) working days. These guidelines provide clear information on the academic document endorsement process, the required documents, and the two methods for obtaining attestation, ensuring a smooth and efficient process for students."
